game,game_comments,game_date,wrong,right
9051,,"Show #9207 - Tuesday, November 19, 2024",2,1
9050,,"Show #9206 - Monday, November 18, 2024",2,1
9049,,"Show #9205 - Friday, November 15, 2024",3,0
9048,,"Show #9204 - Thursday, November 14, 2024",2,1
9047,,"Show #9203 - Wednesday, November 13, 2024",2,1
9046,,"Show #9202 - Tuesday, November 12, 2024",0,3
9045,,"Show #9201 - Monday, November 11, 2024",3,0
9044,,"Show #9200 - Friday, November 8, 2024",2,1
9043,Greg Jolin game 6.,"Show #9199 - Thursday, November 7, 2024",2,1
9042,Greg Jolin game 5.,"Show #9198 - Wednesday, November 6, 2024",0,3
9041,Greg Jolin game 4.,"Show #9197 - Tuesday, November 5, 2024",0,3
9040,Greg Jolin game 3.,"Show #9196 - Monday, November 4, 2024",1,2
9039,Greg Jolin game 2.,"Show #9195 - Friday, November 1, 2024",2,1
9038,Greg Jolin game 1.,"Show #9194 - Thursday, October 31, 2024",1,2
9037,,"Show #9193 - Wednesday, October 30, 2024",1,2
9036,,"Show #9192 - Tuesday, October 29, 2024",1,2
9035,Will Wallace game 5.,"Show #9191 - Monday, October 28, 2024",1,2
9034,Will Wallace game 4.,"Show #9190 - Friday, October 25, 2024",1,2
9033,Will Wallace game 3.,"Show #9189 - Thursday, October 24, 2024",2,1
9032,Will Wallace game 2.,"Show #9188 - Wednesday, October 23, 2024",2,0
9031,Will Wallace game 1.,"Show #9187 - Tuesday, October 22, 2024",2,1
9030,,"Show #9186 - Monday, October 21, 2024",2,1
9029,Rishabh Wuppalapati game 4.,"Show #9185 - Friday, October 18, 2024",0,3
9028,Rishabh Wuppalapati game 3.,"Show #9184 - Thursday, October 17, 2024",2,0
9027,Rishabh Wuppalapati game 2.,"Show #9183 - Wednesday, October 16, 2024",1,2
9026,Rishabh Wuppalapati game 1.,"Show #9182 - Tuesday, October 15, 2024",1,2
9025,"Modified set with single-screen game board and new Final Jeopardy! monitor.
The category is highlighted upon clue selection.
Ken approaches the individual lecterns for the contestant interviews.","Show #9181 - Monday, October 14, 2024",1,2
9024,Mark Fitzpatrick game 6.,"Show #9180 - Friday, October 11, 2024",2,1
9023,Mark Fitzpatrick game 5.,"Show #9179 - Thursday, October 10, 2024",1,2
9022,Mark Fitzpatrick game 4.,"Show #9178 - Wednesday, October 9, 2024",3,0
9021,Mark Fitzpatrick game 3.,"Show #9177 - Tuesday, October 8, 2024",3,0
9020,Mark Fitzpatrick game 2.,"Show #9176 - Monday, October 7, 2024",3,0
9019,"Ryan Manton game 5.
Mark Fitzpatrick game 1.","Show #9175 - Friday, October 4, 2024",2,1
9018,Ryan Manton game 4.,"Show #9174 - Thursday, October 3, 2024",0,2
9017,Ryan Manton game 3.,"Show #9173 - Wednesday, October 2, 2024",1,2
9016,Ryan Manton game 2.,"Show #9172 - Tuesday, October 1, 2024",1,2
9015,Ryan Manton game 1.,"Show #9171 - Monday, September 30, 2024",1,2
9014,,"Show #9170 - Friday, September 27, 2024",1,2
9013,David Erb game 4.,"Show #9169 - Thursday, September 26, 2024",3,0
9012,"David Erb game 3.
Drew Goins game 1.","Show #9168 - Wednesday, September 25, 2024",1,2
9011,David Erb game 2.,"Show #9167 - Tuesday, September 24, 2024",1,2
9010,David Erb game 1.,"Show #9166 - Monday, September 23, 2024",3,0
9009,,"Show #9165 - Friday, September 20, 2024",3,0
9008,,"Show #9164 - Thursday, September 19, 2024",1,2
9007,,"Show #9163 - Wednesday, September 18, 2024",2,1
9006,,"Show #9162 - Tuesday, September 17, 2024",1,2
9004,,"Show #9161 - Monday, September 16, 2024",1,2
9003,,"Show #9160 - Friday, September 13, 2024",1,2
9002,,"Show #9159 - Thursday, September 12, 2024",1,2
9001,,"Show #9158 - Wednesday, September 11, 2024",3,0
9000,,"Show #9157 - Tuesday, September 10, 2024",3,0
8999,First game of Season 41.,"Show #9156 - Monday, September 9, 2024",2,1
8792,"2024 Champions Wildcard play-in game 3.
Game entered from TuneIn audio presentation.","Audio-only game #3 - Friday, February 2, 2024",1,2
8770,"2024 Champions Wildcard play-in game 2.
Game entered from TuneIn audio presentation.","Audio-only game #2 - Friday, January 12, 2024",3,0
8769,"2024 Champions Wildcard play-in game 1.
Hosted by Buzzy Cohen.
Game entered from TuneIn audio presentation.","Audio-only game #1 - Friday, January 12, 2024",3,0
8998,Last game of Season 40.,"Show #9155 - Friday, July 26, 2024",2,1
8997,,"Show #9154 - Thursday, July 25, 2024",1,2
8996,Neilesh Vinjamuri game 4.,"Show #9153 - Wednesday, July 24, 2024",2,1
8995,Neilesh Vinjamuri game 3.,"Show #9152 - Tuesday, July 23, 2024",2,0
8994,Neilesh Vinjamuri game 2.,"Show #9151 - Monday, July 22, 2024",2,1
8993,Neilesh Vinjamuri game 1.,"Show #9150 - Friday, July 19, 2024",2,1
8992,,"Show #9149 - Thursday, July 18, 2024",2,1
8991,,"Show #9148 - Wednesday, July 17, 2024",3,0
8990,Isaac Hirsch game 10.,"Show #9147 - Tuesday, July 16, 2024",3,0
8989,Isaac Hirsch game 9.,"Show #9146 - Monday, July 15, 2024",1,2
8988,Isaac Hirsch game 8.,"Show #9145 - Friday, July 12, 2024",0,2
8987,Isaac Hirsch game 7.,"Show #9144 - Thursday, July 11, 2024",2,1
8986,Isaac Hirsch game 6.,"Show #9143 - Wednesday, July 10, 2024",0,3
8985,Isaac Hirsch game 5.,"Show #9142 - Tuesday, July 9, 2024",2,1
8984,Isaac Hirsch game 4.,"Show #9141 - Monday, July 8, 2024",0,3
8983,Isaac Hirsch game 3.,"Show #9140 - Friday, July 5, 2024",2,1
8982,Isaac Hirsch game 2.,"Show #9139 - Thursday, July 4, 2024",1,2
8981,Isaac Hirsch game 1.,"Show #9138 - Wednesday, July 3, 2024",3,0
8980,,"Show #9137 - Tuesday, July 2, 2024",1,1
8979,,"Show #9136 - Monday, July 1, 2024",1,2
8978,Drew Basile game 8.,"Show #9135 - Friday, June 28, 2024",1,2
8977,Drew Basile game 7.,"Show #9134 - Thursday, June 27, 2024",2,1
8976,Drew Basile game 6.,"Show #9133 - Wednesday, June 26, 2024",2,1
8975,Drew Basile game 5.,"Show #9132 - Tuesday, June 25, 2024",1,2
8974,Drew Basile game 4.,"Show #9131 - Monday, June 24, 2024",2,0
8973,"Drew Basile game 3.
Sixth regular-play game to end in a Tiebreaker Round.","Show #9130 - Friday, June 21, 2024",1,3
8972,Drew Basile game 2.,"Show #9129 - Thursday, June 20, 2024",3,0
8971,"Adriana Harmeyer game 16.
Drew Basile game 1.","Show #9128 - Wednesday, June 19, 2024",2,1
8970,Adriana Harmeyer game 15.,"Show #9127 - Tuesday, June 18, 2024",1,2
8969,Adriana Harmeyer game 14.,"Show #9126 - Monday, June 17, 2024",1,2
8968,Adriana Harmeyer game 13.,"Show #9125 - Friday, June 14, 2024",2,1
8967,Adriana Harmeyer game 12.,"Show #9124 - Thursday, June 13, 2024",1,2
8966,Adriana Harmeyer game 11.,"Show #9123 - Wednesday, June 12, 2024",1,2
8965,Adriana Harmeyer game 10.,"Show #9122 - Tuesday, June 11, 2024",0,3
8964,Adriana Harmeyer game 9.,"Show #9121 - Monday, June 10, 2024",2,1
8963,Adriana Harmeyer game 8.,"Show #9120 - Friday, June 7, 2024",1,2
8962,Adriana Harmeyer game 7.,"Show #9119 - Thursday, June 6, 2024",2,1
8961,Adriana Harmeyer game 6.,"Show #9118 - Wednesday, June 5, 2024",0,3
8960,Adriana Harmeyer game 5.,"Show #9117 - Tuesday, June 4, 2024",1,2
8959,Adriana Harmeyer game 4.,"Show #9116 - Monday, June 3, 2024",3,0
8958,Adriana Harmeyer game 3.,"Show #9115 - Friday, May 31, 2024",2,1
8957,Adriana Harmeyer game 2.,"Show #9114 - Thursday, May 30, 2024",2,1
8956,Adriana Harmeyer game 1.,"Show #9113 - Wednesday, May 29, 2024",0,2
8955,Amar Kakirde game 5.,"Show #9112 - Tuesday, May 28, 2024",3,0
8954,Amar Kakirde game 4.,"Show #9111 - Monday, May 27, 2024",3,0
8953,Amar Kakirde game 3.,"Show #9110 - Friday, May 24, 2024",1,2
8950,Amar Kakirde game 2.,"Show #9109 - Thursday, May 23, 2024",2,1
8949,Amar Kakirde game 1.,"Show #9108 - Wednesday, May 22, 2024",2,1
8948,Grant DeYoung game 5.,"Show #9107 - Tuesday, May 21, 2024",0,3
8945,Grant DeYoung game 4.,"Show #9106 - Monday, May 20, 2024",1,2
8942,Grant DeYoung game 3.,"Show #9105 - Friday, May 17, 2024",1,1
8941,Grant DeYoung game 2.,"Show #9104 - Thursday, May 16, 2024",2,1
8938,"Will Stewart game 4.
Grant DeYoung game 1.","Show #9103 - Wednesday, May 15, 2024",0,3
8937,Will Stewart game 3.,"Show #9102 - Tuesday, May 14, 2024",3,0
8934,Will Stewart game 2.,"Show #9101 - Monday, May 13, 2024",0,2
8931,"Allison Gross game 4.
Will Stewart game 1.","Show #9100 - Friday, May 10, 2024",1,2
8930,Allison Gross game 3.,"Show #9099 - Thursday, May 9, 2024",2,1
8927,Allison Gross game 2.,"Show #9098 - Wednesday, May 8, 2024",3,0
8926,Allison Gross game 1.,"Show #9097 - Tuesday, May 7, 2024",2,1
8923,Weckiai Rannila game 4.,"Show #9096 - Monday, May 6, 2024",2,1
8922,Weckiai Rannila game 3.,"Show #9095 - Friday, May 3, 2024",2,1
8921,Weckiai Rannila game 2.,"Show #9094 - Thursday, May 2, 2024",0,3
8918,"Weckiai Rannila game 1.
Amy Hummel game 6.","Show #9093 - Wednesday, May 1, 2024",3,0
8917,Amy Hummel game 5.,"Show #9092 - Tuesday, April 30, 2024",1,2
8916,Amy Hummel game 4.,"Show #9091 - Monday, April 29, 2024",1,2
8915,Amy Hummel game 3.,"Show #9090 - Friday, April 26, 2024",1,2
8914,Amy Hummel game 2.,"Show #9089 - Thursday, April 25, 2024",3,0
8913,Amy Hummel game 1.,"Show #9088 - Wednesday, April 24, 2024",0,3
8912,,"Show #9087 - Tuesday, April 23, 2024",1,2
8911,,"Show #9086 - Monday, April 22, 2024",2,0
8907,,"Show #9085 - Friday, April 19, 2024",1,2
8905,Alison Betts game 6.,"Show #9084 - Thursday, April 18, 2024",3,0
8903,Alison Betts game 5.,"Show #9083 - Wednesday, April 17, 2024",1,1
8900,Alison Betts game 4.,"Show #9082 - Tuesday, April 16, 2024",2,0
8898,Alison Betts game 3.,"Show #9081 - Monday, April 15, 2024",1,2
8886,Alison Betts game 2.,"Show #9080 - Friday, April 12, 2024",1,2
8883,Alison Betts game 1.,"Show #9079 - Thursday, April 11, 2024",1,2
8881,"Lucas Partridge game 4.
First regular-play game of Season 40.
Consolation prizes increased to $3,000 and $2,000.","Show #9078 - Wednesday, April 10, 2024",3,0
8879,2024 Jeopardy! Invitational Tournament final game 3.,"Show #9077 - Tuesday, April 9, 2024",0,3
8877,2024 Jeopardy! Invitational Tournament final game 2.,"Show #9076 - Monday, April 8, 2024",0,3
8865,2024 Jeopardy! Invitational Tournament final game 1.,"Show #9075 - Friday, April 5, 2024",2,1
8862,2024 Jeopardy! Invitational Tournament semifinal game 3.,"Show #9074 - Thursday, April 4, 2024",1,2
8860,2024 Jeopardy! Invitational Tournament semifinal game 2.,"Show #9073 - Wednesday, April 3, 2024",2,1
8859,2024 Jeopardy! Invitational Tournament semifinal game 1.,"Show #9072 - Tuesday, April 2, 2024",1,2
8858,2024 Jeopardy! Invitational Tournament quarterfinal game 9.,"Show #9071 - Monday, April 1, 2024",2,1
8856,2024 Jeopardy! Invitational Tournament quarterfinal game 8.,"Show #9070 - Friday, March 29, 2024",1,2
8855,2024 Jeopardy! Invitational Tournament quarterfinal game 7.,"Show #9069 - Thursday, March 28, 2024",3,0
8854,2024 Jeopardy! Invitational Tournament quarterfinal game 6.,"Show #9068 - Wednesday, March 27, 2024",2,1
8853,2024 Jeopardy! Invitational Tournament quarterfinal game 5.,"Show #9067 - Tuesday, March 26, 2024",1,2
8852,2024 Jeopardy! Invitational Tournament quarterfinal game 4.,"Show #9066 - Monday, March 25, 2024",3,0
8851,"2024 Jeopardy! Invitational Tournament quarterfinal game 3.
9,000th episode.","Show #9065 - Friday, March 22, 2024",1,2
8850,2024 Jeopardy! Invitational Tournament quarterfinal game 2.,"Show #9064 - Thursday, March 21, 2024",1,2
8849,2024 Jeopardy! Invitational Tournament quarterfinal game 1.,"Show #9063 - Wednesday, March 20, 2024",2,1
8848,2024 Tournament of Champions final game 6.,"Show #9062 - Tuesday, March 19, 2024",2,1
8846,2024 Tournament of Champions final game 5.,"Show #9061 - Monday, March 18, 2024",1,2
8845,2024 Tournament of Champions final game 4.,"Show #9060 - Friday, March 15, 2024",2,1
8844,2024 Tournament of Champions final game 3.,"Show #9059 - Thursday, March 14, 2024",0,3
8843,2024 Tournament of Champions final game 2.,"Show #9058 - Wednesday, March 13, 2024",0,3
8842,2024 Tournament of Champions final game 1.,"Show #9057 - Tuesday, March 12, 2024",1,2
8841,2024 Tournament of Champions semifinal game 3.,"Show #9056 - Monday, March 11, 2024",3,0
8840,2024 Tournament of Champions semifinal game 2.,"Show #9055 - Friday, March 8, 2024",2,1
8839,2024 Tournament of Champions semifinal game 1.,"Show #9054 - Thursday, March 7, 2024",3,0
8838,2024 Tournament of Champions quarterfinal game 9.,"Show #9053 - Wednesday, March 6, 2024",2,1
8837,2024 Tournament of Champions quarterfinal game 8.,"Show #9052 - Tuesday, March 5, 2024",2,0
8836,2024 Tournament of Champions quarterfinal game 7.,"Show #9051 - Monday, March 4, 2024",1,2
8835,2024 Tournament of Champions quarterfinal game 6.,"Show #9050 - Friday, March 1, 2024",2,0
8834,2024 Tournament of Champions quarterfinal game 5.,"Show #9049 - Thursday, February 29, 2024",2,1
8833,2024 Tournament of Champions quarterfinal game 4.,"Show #9048 - Wednesday, February 28, 2024",3,0
8832,2024 Tournament of Champions quarterfinal game 3.,"Show #9047 - Tuesday, February 27, 2024",0,3
8831,2024 Tournament of Champions quarterfinal game 2.,"Show #9046 - Monday, February 26, 2024",2,1
8830,2024 Tournament of Champions quarterfinal game 1.,"Show #9045 - Friday, February 23, 2024",1,1
8828,2024 Champions Wildcard Group 2 final game 1.,"Show #9043 - Wednesday, February 21, 2024",2,1
8827,2024 Champions Wildcard Group 2 semifinal game 3.,"Show #9042 - Tuesday, February 20, 2024",2,1
8826,2024 Champions Wildcard Group 2 semifinal game 2.,"Show #9041 - Monday, February 19, 2024",0,3
8825,2024 Champions Wildcard Group 2 semifinal game 1.,"Show #9040 - Friday, February 16, 2024",1,2
8824,2024 Champions Wildcard Group 2 quarterfinal game 9.,"Show #9039 - Thursday, February 15, 2024",3,0
8823,2024 Champions Wildcard Group 2 quarterfinal game 8.,"Show #9038 - Wednesday, February 14, 2024",2,1
8821,2024 Champions Wildcard Group 2 quarterfinal game 7.,"Show #9037 - Tuesday, February 13, 2024",0,3
8817,2024 Champions Wildcard Group 2 quarterfinal game 6.,"Show #9036 - Monday, February 12, 2024",1,2
8806,2024 Champions Wildcard Group 2 quarterfinal game 5.,"Show #9035 - Friday, February 9, 2024",2,1
8804,2024 Champions Wildcard Group 2 quarterfinal game 4.,"Show #9034 - Thursday, February 8, 2024",3,0
8802,2024 Champions Wildcard Group 2 quarterfinal game 3.,"Show #9033 - Wednesday, February 7, 2024",3,0
8799,2024 Champions Wildcard Group 2 quarterfinal game 2.,"Show #9032 - Tuesday, February 6, 2024",3,0
8796,2024 Champions Wildcard Group 2 quarterfinal game 1.,"Show #9031 - Monday, February 5, 2024",1,2
8790,2024 Champions Wildcard Group 1 final game 1.,"Show #9029 - Thursday, February 1, 2024",2,1
8789,2024 Champions Wildcard Group 1 semifinal game 3.,"Show #9028 - Wednesday, January 31, 2024",1,2
8788,2024 Champions Wildcard Group 1 semifinal game 2.,"Show #9027 - Tuesday, January 30, 2024",1,2
8787,2024 Champions Wildcard Group 1 semifinal game 1.,"Show #9026 - Monday, January 29, 2024",2,1
8786,2024 Champions Wildcard Group 1 quarterfinal game 9.,"Show #9025 - Friday, January 26, 2024",2,1
8785,2024 Champions Wildcard Group 1 quarterfinal game 8.,"Show #9024 - Thursday, January 25, 2024",2,1
8784,2024 Champions Wildcard Group 1 quarterfinal game 7.,"Show #9023 - Wednesday, January 24, 2024",3,0
8782,2024 Champions Wildcard Group 1 quarterfinal game 6.,"Show #9022 - Tuesday, January 23, 2024",1,2
8781,2024 Champions Wildcard Group 1 quarterfinal game 5.,"Show #9021 - Monday, January 22, 2024",3,0
8780,2024 Champions Wildcard Group 1 quarterfinal game 4.,"Show #9020 - Friday, January 19, 2024",1,2
8779,2024 Champions Wildcard Group 1 quarterfinal game 3.,"Show #9019 - Thursday, January 18, 2024",3,0
8778,2024 Champions Wildcard Group 1 quarterfinal game 2.,"Show #9018 - Wednesday, January 17, 2024",2,1
8775,2024 Champions Wildcard Group 1 quarterfinal game 1.,"Show #9017 - Tuesday, January 16, 2024",1,1
8767,"2023-2024 Second Chance competition week 4, final game 1.","Show #9015 - Friday, January 12, 2024",2,1
8765,"2023-2024 Second Chance competition week 4, semifinal game 3.","Show #9014 - Thursday, January 11, 2024",2,1
8762,"2023-2024 Second Chance competition week 4, semifinal game 2.","Show #9013 - Wednesday, January 10, 2024",1,2
8760,"2023-2024 Second Chance competition week 4, semifinal game 1.","Show #9012 - Tuesday, January 9, 2024",1,2
8754,"2023-2024 Second Chance competition week 3, final game 1.","Show #9010 - Friday, January 5, 2024",3,0
8752,"2023-2024 Second Chance competition week 3, semifinal game 3.","Show #9009 - Thursday, January 4, 2024",1,2
8750,"2023-2024 Second Chance competition week 3, semifinal game 2.","Show #9008 - Wednesday, January 3, 2024",1,2
8747,"2023-2024 Second Chance competition week 3, semifinal game 1.","Show #9007 - Tuesday, January 2, 2024",2,1
8741,"2023-2024 Second Chance competition week 2, final game 1.","Show #9005 - Friday, December 29, 2023",0,3
8739,"2023-2024 Second Chance competition week 2, semifinal game 3.","Show #9004 - Thursday, December 28, 2023",0,3
8737,"2023-2024 Second Chance competition week 2, semifinal game 2.","Show #9003 - Wednesday, December 27, 2023",0,3
8735,"2023-2024 Second Chance competition week 2, semifinal game 1.","Show #9002 - Tuesday, December 26, 2023",1,2
8731,"2023-2024 Second Chance competition week 1, final game 1.","Show #9000 - Friday, December 22, 2023",1,2
8730,"2023-2024 Second Chance competition week 1, semifinal game 3.","Show #8999 - Thursday, December 21, 2023",3,0
8728,"2023-2024 Second Chance competition week 1, semifinal game 2.","Show #8998 - Wednesday, December 20, 2023",0,3
8725,"2023-2024 Second Chance competition week 1, semifinal game 1.
New opening featuring show crew.","Show #8997 - Tuesday, December 19, 2023",1,2
8717,2023 Champions Wildcard Hearts final game 1.,"Show #8995 - Friday, December 15, 2023",2,1
8715,2023 Champions Wildcard Hearts semifinal game 3.,"Show #8994 - Thursday, December 14, 2023",2,1
8714,2023 Champions Wildcard Hearts semifinal game 2.,"Show #8993 - Wednesday, December 13, 2023",0,3
8713,2023 Champions Wildcard Hearts semifinal game 1.,"Show #8992 - Tuesday, December 12, 2023",0,3
8712,2023 Champions Wildcard Hearts quarterfinal game 9.,"Show #8991 - Monday, December 11, 2023",1,2
8711,2023 Champions Wildcard Hearts quarterfinal game 8.,"Show #8990 - Friday, December 8, 2023",1,2
8710,2023 Champions Wildcard Hearts quarterfinal game 7.,"Show #8989 - Thursday, December 7, 2023",2,1
